Den;Datum;Zaèátek;ZS;Soutìž;ÈU;Domácí;Hosté;Stav
St;17.12.2025;18:30;TM;"KSM PLK";P0154;"HC Omega Trans Plzeò o.s. ";"HC Klatovy";4:2
So;20.12.2025;14:00;RO;"KLM KPK";P0291;"HC Rokycany z.s. ";"HC Klatovy ";3:6
Ne;21.12.2025;14:30;HU;RLJ;C1154;"HC Humpolec, z.s. ";"HC Klatovy ";4:1
Pá;02.01.2026;10:00;GH;"PRIP HM";AX001;"HC Spartak Choceò ";"HC Klatovy ";0:0
Pá;02.01.2026;13:10;GH;"PRIP HM";AX004;"HC Klatovy ";"BANES Motor Èeské Budìjovice ";0:0
Pá;02.01.2026;14:20;GH;"PRIP HM";AX005;"HC Rožnov p. R. Èerní Vlci ";"HC Klatovy ";0:0
So;03.01.2026;10:25;KT;"LSŽ B";P7046;"HC Klatovy ";"HC Domažlice ";12:4
So;03.01.2026;11:15;HC;RLSD;P3143;"HC Spartak Žebrák ";"HC Klatovy ";3:8
So;03.01.2026;12:40;KT;"LMŽ B";K5099;"HC Klatovy ";"HC Baník Sokolov B";5:7
So;03.01.2026;12:45;OS;"LMŽ B";K5103;"HC Èerti Ostrov ";"HC Klatovy B";3:14
So;03.01.2026;13:45;PB;RLJ;C1172;"HC Pøíbram ";"HC Klatovy ";5:0
So;03.01.2026;17:30;KT;"KLM KPK";P0280;"HC Klatovy ";"HK Rokycany, o.s. ";2:4
Ne;04.01.2026;09:15;KT;"S2T PLK";PM2052;"HC Klatovy ";"TJ Sušice ";0:0
Ne;04.01.2026;11:45;KT;"S2T PLK";PM2054;"HC Klatovy ";"HC Tachov ";0:0
Ne;04.01.2026;12:55;KT;RLJ;C1106;"HC Klatovy ";"HC Lední medvìdi Pelhøimov ";3:2
Ne;04.01.2026;14:30;TM;RLSD;P3148;"HC Meteor Tøemošná ";"HC Klatovy ";19:0
Ne;04.01.2026;17:30;KT;"KLM KPK";P0298;"HC Klatovy ";"HC Apollo ";1:4
Ne;04.01.2026;20:00;KT;"KSM PLK";P0155;"HC Klatovy";"HC S.O.S. Žízeò Chotìšov o.s. ";6:1
St;07.01.2026;18:25;KT;RLJ;C1147;"HC Klatovy ";"HC Pilsen Wolves ";4:6
Èt;08.01.2026;20:00;PT;"KSM PLK";P0161;"HC Radobyèice ";"HC Klatovy";3:7
Pá;09.01.2026;15:30;JH;RLJ;C1178;"HC Støelci Jindøichùv Hradec ";"HC Klatovy ";"Zápas zrušen"
So;10.01.2026;10:15;MI;"LSŽ B";P7047;"HC Milevsko 1934 ";"HC Klatovy ";6:3
So;10.01.2026;12:00;KT;"LMŽ B";K5109;"HC Klatovy B";"HC Mariánské Láznì ";9:4
So;10.01.2026;14:10;KT;RLSD;P3159;"HC Klatovy ";"HC Com-Sys Øíèany ";0:13
So;10.01.2026;19:15;SX;"S4T PLK";PM4050;"HC Klatovy ";"HC Baník Sokolov ";0:0
So;10.01.2026;20:30;SX;"S4T PLK";PM4049;"HC Pilsen Wolves ";"HC Klatovy ";0:0
Ne;11.01.2026;09:10;KT;"LMŽ B";K5077;"HC Klatovy B";"HC Rokycany z.s. B";8:1
Ne;11.01.2026;11:25;KT;"LMŽ B";K5098;"HC Klatovy ";"HC Meteor Tøemošná B";11:7
Ne;11.01.2026;13:40;KT;RLSD;P3164;"HC Klatovy ";"HC Domažlice ";1:6
Ne;11.01.2026;15:30;PT;"S3T PLK";PM3053;"HC Rokycany z.s. ";"HC Klatovy ";0:0
Ne;11.01.2026;16:45;PT;"S3T PLK";PM3054;"HC ŠKODA PLZEÒ ";"HC Klatovy ";0:0
Ne;11.01.2026;18:40;KT;RLJ;C1185;"HC Klatovy ";"HC Meteor Tøemošná ";3:6
Po;12.01.2026;18:00;RO;"LMŽ B";K5112;"HC Rokycany z.s. ";"HC Klatovy ";9:2
Pá;16.01.2026;17:30;TM;RLJ;C1097;"HC Meteor Tøemošná ";"HC Klatovy ";7:0
So;17.01.2026;09:45;RO;"S2T PLK";PM2061;"HC Rokycany z.s. ";"HC Klatovy ";0:0
So;17.01.2026;10:25;KT;"LSŽ B";P7053;"HC Klatovy ";"HC Strakonice ";3:5
So;17.01.2026;10:45;RO;"S2T PLK";PM2062;"HC Klatovy ";"HC Baník Sokolov ";0:0
So;17.01.2026;12:40;KT;"LMŽ B";K5114;"HC Klatovy ";"HC Domažlice ";12:3
So;17.01.2026;14:45;PL;"LMŽ B";K5116;"HC ŠKODA PLZEÒ B";"HC Klatovy B";13:3
So;17.01.2026;16:30;KT;"KSM PLK";P0164;"HC Klatovy";"HCK Meteor z.s. ";4:3
So;17.01.2026;17:00;NK;"KLM KPK";P0306;"HC Rebel Mìsto Nejdek ";"HC Klatovy ";12:3
Ne;18.01.2026;12:55;KT;RLSD;P3178;"HC Klatovy ";"HC Pøíbram B";1:6
Ne;18.01.2026;15:45;KT;"KLM KPK";P0289;"HC Klatovy ";"HC Èerti Ostrov ";17:6
